damage_level,image_path,num_detections,centroids
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00118.jpg,1,"[(360.702880859375, 210.44656372070312)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00119.jpg,1,"[(348.72003173828125, 172.0686492919922)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00120.jpg,1,"[(355.2409362792969, 163.4599609375)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00121.jpg,1,"[(361.9657287597656, 214.99256896972656)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00122.jpg,1,"[(350.8969421386719, 178.04551696777344)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00123.jpg,1,"[(352.6465759277344, 170.5196533203125)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00124.jpg,1,"[(357.3143615722656, 195.44195556640625)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00125.jpg,1,"[(363.08154296875, 191.71859741210938)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00126.jpg,1,"[(354.6412353515625, 180.29229736328125)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00127.jpg,1,"[(355.12127685546875, 179.83541870117188)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00128.jpg,1,"[(356.66741943359375, 181.93167114257812)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00129.jpg,1,"[(364.70916748046875, 199.6748809814453)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00130.jpg,1,"[(359.8976135253906, 174.2078094482422)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00131.jpg,1,"[(366.6771545410156, 166.42752075195312)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00132.jpg,1,"[(359.68218994140625, 168.80523681640625)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00133.jpg,1,"[(349.878173828125, 179.4809112548828)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00134.jpg,1,"[(351.60595703125, 168.8388671875)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00135.jpg,1,"[(350.9276428222656, 203.43014526367188)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00136.jpg,1,"[(349.63031005859375, 178.7890625)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00137.jpg,1,"[(352.4443054199219, 183.32672119140625)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00138.jpg,1,"[(356.45477294921875, 177.02264404296875)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00139.jpg,1,"[(359.5912780761719, 181.07302856445312)]"
